"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2023-11-09,"Atlantic Hockey","Holy Cross",1,"American Int'l",4,FALSE,FALSE,3,1
2023-11-10,"Big Ten","Penn State",3,"Michigan State",3,TRUE,FALSE,0,0.5
2023-11-10,"Big Ten","Ohio State",1,"Notre Dame",4,FALSE,FALSE,3,1
2023-11-10,"Big Ten","Minnesota",4,"Michigan",3,FALSE,FALSE,-1,0
2023-11-10,"Non-Conference","Augustana",4,"Lindenwood",3,TRUE,FALSE,-1,0
2023-11-10,"Non-Conference","Alaska",3,"Stonehill",1,FALSE,FALSE,-2,0
2023-11-10,"Non-Conference","Denver",5,"Arizona State",6,TRUE,FALSE,1,1
2023-11-10,"Non-Conference","Robert Morris",2,"Alaska-Anchorage",3,FALSE,FALSE,1,1
2023-11-10,"Non-Conference","Long Island",2,"Omaha",3,FALSE,FALSE,1,1
2023-11-10,"Atlantic Hockey","American Int'l",3,"Holy Cross",2,FALSE,FALSE,-1,0
2023-11-10,"Atlantic Hockey","Canisius",1,"Sacred Heart",4,FALSE,FALSE,3,1
2023-11-10,"Atlantic Hockey","Niagara",2,"Bentley",6,FALSE,FALSE,4,1
2023-11-10,"Atlantic Hockey","Army",3,"Air Force",4,TRUE,FALSE,1,1
2023-11-10,"Atlantic Hockey","Mercyhurst",2,"RIT",5,FALSE,FALSE,3,1
2023-11-10,"ECAC","Rensselaer",4,"Clarkson",2,FALSE,FALSE,-2,0
2023-11-10,"ECAC","Harvard",2,"Colgate",2,TRUE,FALSE,0,0.5
2023-11-10,"ECAC","Dartmouth",2,"Cornell",2,TRUE,FALSE,0,0.5
2023-11-10,"ECAC","Yale",4,"Princeton",5,TRUE,FALSE,1,1
2023-11-10,"ECAC","Brown",1,"Quinnipiac",5,FALSE,FALSE,4,1
2023-11-10,"ECAC","Union",4,"St. Lawrence",3,FALSE,FALSE,-1,0
2023-11-10,"Hockey East","Merrimack",6,"Connecticut",3,FALSE,FALSE,-3,0
2023-11-10,"Hockey East","Boston College",2,"Maine",4,FALSE,FALSE,2,1
2023-11-10,"Hockey East","Vermont",1,"Massachusetts",4,FALSE,FALSE,3,1
2023-11-10,"Hockey East","Northeastern",1,"Providence",2,TRUE,FALSE,1,1
2023-11-10,"Hockey East","Boston University",3,"Mass.-Lowell",2,FALSE,FALSE,-1,0
2023-11-10,"NCHC","St. Cloud State",3,"Western Michigan",2,FALSE,FALSE,-1,0
2023-11-10,"NCHC","Colorado College",5,"Miami",1,FALSE,FALSE,-4,0
2023-11-10,"NCHC","North Dakota",4,"Minnesota-Duluth",2,FALSE,FALSE,-2,0
2023-11-10,"CCHA","St. Thomas",4,"Bowling Green",1,FALSE,FALSE,-3,0
2023-11-10,"CCHA","Minnesota State",6,"Ferris State",2,FALSE,FALSE,-4,0
2023-11-10,"CCHA","Lake Superior",4,"Northern Michigan",6,FALSE,FALSE,2,1
2023-11-10,"CCHA","Michigan Tech",4,"Bemidji State",2,FALSE,FALSE,-2,0
2023-11-11,"Atlantic Hockey","Niagara",1,"Bentley",2,FALSE,FALSE,1,1
2023-11-11,"Atlantic Hockey","Army",0,"Air Force",4,FALSE,FALSE,4,1
2023-11-11,"Atlantic Hockey","Mercyhurst",2,"RIT",0,FALSE,FALSE,-2,0
2023-11-11,"Atlantic Hockey","Canisius",2,"Sacred Heart",3,FALSE,FALSE,1,1
2023-11-11,"ECAC","Union",1,"Clarkson",4,FALSE,FALSE,3,1
2023-11-11,"ECAC","Dartmouth",3,"Colgate",2,TRUE,FALSE,-1,0
2023-11-11,"ECAC","Harvard",3,"Cornell",2,FALSE,FALSE,-1,0
2023-11-11,"ECAC","Brown",2,"Princeton",3,TRUE,FALSE,1,1
2023-11-11,"ECAC","Yale",2,"Quinnipiac",5,FALSE,FALSE,3,1
2023-11-11,"ECAC","Rensselaer",3,"St. Lawrence",6,FALSE,FALSE,3,1
2023-11-11,"Big Ten","Penn State",3,"Michigan State",5,FALSE,FALSE,2,1
2023-11-11,"Big Ten","Ohio State",0,"Notre Dame",3,FALSE,FALSE,3,1
2023-11-11,"Big Ten","Minnesota",2,"Michigan",2,TRUE,FALSE,0,0.5
2023-11-11,"Non-Conference","Alaska",8,"Stonehill",1,FALSE,FALSE,-7,0
2023-11-11,"Non-Conference","Robert Morris",2,"Alaska-Anchorage",2,TRUE,FALSE,0,0.5
2023-11-11,"Non-Conference","Denver",8,"Arizona State",4,FALSE,FALSE,-4,0
2023-11-11,"Non-Conference","Augustana",3,"Lindenwood",5,FALSE,FALSE,2,1
2023-11-11,"Non-Conference","Long Island",4,"Omaha",5,TRUE,FALSE,1,1
2023-11-11,"Hockey East","Vermont",6,"Massachusetts",2,FALSE,FALSE,-4,0
2023-11-11,"Hockey East","Mass.-Lowell",1,"Boston University",6,FALSE,FALSE,5,1
2023-11-11,"Hockey East","Boston College",2,"Maine",2,TRUE,FALSE,0,0.5
2023-11-11,"Hockey East","Connecticut",4,"Merrimack",3,FALSE,FALSE,-1,0
